<-23.709207,-93.403397,-131.031165>,<-0.123408,0.091664,-0.988113,0.000000,-0.907537,0.392370,0.149743,0.000000,0.401432,0.915229,0.034767,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<42963>
<-78.007620,60.662611,-405.395721>,<-0.264221,-0.028404,0.964044,0.000000,-0.258248,0.965150,-0.042343,0.000000,-0.929245,-0.260151,-0.262348,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<43064>
<-70.718211,239.705195,-320.593581>,<-0.406227,0.808322,0.426140,0.000000,0.851494,0.504076,-0.144450,0.000000,-0.331569,0.304177,-0.893050,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<43303>
<-87.896316,38.277338,-39.587642>,<-0.362043,0.168308,0.916841,0.000000,-0.288834,-0.955413,0.061334,0.000000,0.886284,-0.242609,0.394513,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<42950>
<17.776401,87.754195,-21.258845>,<0.251314,0.776985,0.577179,0.000000,-0.062252,-0.582108,0.810725,0.000000,0.965902,-0.239677,-0.097923,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<42991>
<66.692039,-104.347857,-212.545144>,<0.501161,-0.863179,-0.061321,0.000000,-0.839621,-0.502188,0.206990,0.000000,-0.209463,-0.052249,-0.976420,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<43226>
<-95.281953,255.406353,-174.425495>,<-0.518142,-0.781169,0.348286,0.000000,0.802726,-0.584711,-0.117236,0.000000,0.295228,0.218833,0.930028,0.000000,0.000000,0.000000,0.000000,1.000000>,<25.000000>,<Cylinders1_4>,<2>,<43293>
<7.541855,161.786028,-406.842591>,<-0.452199,0.027121,0.891505,0.000000,-0.818237,0.385189,-0.426753,0.000000,-0.354972,-0.922439,-0.151990,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43022>
<54.575273,197.635980,-64.725441>,<-0.856405,0.291023,-0.426468,0.000000,-0.220621,0.540520,0.811889,0.000000,0.466793,0.789395,-0.398698,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<42966>
<-89.462314,-60.886562,-322.817340>,<-0.514322,-0.504371,0.693601,0.000000,-0.130673,-0.753239,-0.644636,0.000000,0.847583,-0.422185,0.321500,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43131>
<21.041958,-108.735260,-137.190834>,<0.984139,0.106132,-0.142151,0.000000,0.029787,-0.888784,-0.457357,0.000000,-0.174881,0.445869,-0.877848,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43255>
<-60.743905,244.453885,-145.184870>,<0.732284,-0.672548,-0.106956,0.000000,-0.680722,-0.718420,-0.143140,0.000000,0.019429,0.177627,-0.983906,0.000000,0.000000,0.000000,0.000000,1.000000>,<20.000000>,<iTallElipsoid>,<-2>,<15033>
<33.134641,22.601583,-407.998459>,<0.240990,0.272842,-0.931386,0.000000,0.914262,-0.385830,0.123534,0.000000,-0.325651,-0.881302,-0.342431,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43211>
<83.533957,230.189858,-315.913149>,<0.863154,0.409708,-0.295133,0.000000,-0.076931,0.684373,0.725062,0.000000,0.499045,-0.603136,0.622239,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43025>
<-21.949811,156.991157,-403.559412>,<-0.973420,-0.059330,0.221210,0.000000,-0.229018,0.242678,-0.942687,0.000000,0.002246,-0.968291,-0.249815,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43033>
<-103.943965,38.144635,-381.964555>,<-0.613268,-0.637887,-0.465836,0.000000,0.732103,-0.237638,-0.638399,0.000000,0.296526,-0.732549,0.612734,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43269>
<-21.309979,33.827806,-406.183964>,<0.488377,-0.151707,0.859345,0.000000,-0.845839,-0.324451,0.423424,0.000000,0.214579,-0.933658,-0.286774,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43074>
<-70.796989,248.128384,-158.884957>,<0.437485,-0.374851,-0.817370,0.000000,-0.120641,0.876287,-0.466442,0.000000,0.891096,0.302669,0.338140,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43240>
<-106.179297,58.325843,-49.608696>,<-0.696227,-0.300722,-0.651793,0.000000,-0.676912,-0.027106,0.735564,0.000000,-0.238868,0.953327,-0.184690,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43104>
<-80.417282,155.456581,-237.876501>,<-0.786231,-0.519479,-0.334638,0.000000,-0.335924,-0.095217,0.937064,0.000000,-0.518648,0.849162,-0.099643,0.000000,0.000000,0.000000,0.000000,1.000000>,<20.000000>,<iTallElipsoid>,<-2>,<11507>
<110.199347,-72.199261,-288.123842>,<0.745127,0.651376,-0.143158,0.000000,0.654535,-0.673062,0.344341,0.000000,0.127941,-0.350280,-0.927866,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43078>
<92.052696,194.145886,-359.195515>,<-0.367160,0.588534,-0.720292,0.000000,0.902800,0.411906,-0.123632,0.000000,0.223931,-0.695673,-0.682564,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<42973>
<8.176441,27.048015,-413.193144>,<-0.358243,0.001874,-0.933627,0.000000,0.927619,-0.112564,-0.356163,0.000000,-0.105761,-0.993643,0.038587,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43252>
<-109.743462,-93.146719,-253.030973>,<0.427452,-0.300891,-0.852496,0.000000,0.133836,-0.911534,0.388835,0.000000,-0.894077,-0.280303,-0.349367,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43292>
<74.240593,231.422716,-110.418083>,<-0.104790,0.471378,0.875684,0.000000,0.694263,0.665130,-0.274957,0.000000,-0.712052,0.579142,-0.396959,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43257>
<-27.041075,50.190922,-58.855399>,<-0.802190,-0.335478,-0.493908,0.000000,-0.558704,0.130027,0.819111,0.000000,-0.210572,0.933031,-0.291739,0.000000,0.000000,0.000000,0.000000,1.000000>,<20.000000>,<iTallElipsoid>,<-2>,<18320>
<98.780932,8.413655,-168.275298>,<-0.604587,-0.659970,0.445997,0.000000,-0.474346,-0.151503,-0.867204,0.000000,0.639899,-0.735857,-0.221457,0.000000,0.000000,0.000000,0.000000,1.000000>,<30.000000>,<iRegularElipsoid>,<-2>,<14157>
